,timestamp,bid,ask,bid_vol,ask_vol,date,Volume,Price,MidPrice,Spread,SpreadCm,TickRule,ObservedPrice,VWAP,Instrument
1202,2019-01-02 12:54:01.126,136.278,136.322,17,670,2019-01-02,5218434,136.3209112081514,136.3,0.04400000000001114,70.95400000000038,9,136.7169112081515,136.34066338857178,Facebook
1049,2019-01-02 12:58:03.596,136.217,136.273,100,970,2019-01-02,5218234,136.2677663551402,136.245,0.055999999999983174,62.386999999999915,10,136.82776635514003,136.26977501184408,Facebook
984,2019-01-02 13:01:55.663,136.468,136.512,260,100000,2019-01-02,5183876,136.51188589666864,136.49,0.04400000000001114,57.22500000000019,-1,136.46788589666863,136.35086976009214,Facebook
931,2019-01-02 13:06:07.363,136.567,136.632,200,7500,2019-01-02,5221332,136.63031168831168,136.5995,0.06499999999999773,51.19399999999962,24,138.19031168831162,136.49131604991072,Facebook
1112,2019-01-02 13:13:32.743,136.018,136.037,200,7500,2019-01-02,5211728,136.0365064935065,136.0275,0.019000000000005457,61.99799999999934,-9,135.86550649350644,136.2220609637669,Facebook
1159,2019-01-02 13:19:01.623,136.237,136.293,260,42,2019-01-02,5224847,136.24478807947017,136.265,0.056000000000011596,70.08199999999974,-18,135.23678807946996,136.19119231215848,Facebook
1165,2019-01-02 13:24:10.136,136.648,136.712,17,7500,2019-01-02,5221326,136.71185526140746,136.68,0.06399999999999295,65.95600000000076,20,137.99185526140732,136.53863644182331,Facebook
1137,2019-01-02 13:28:11.572,136.887,136.96,10100,7500,2019-01-02,5219758,136.91810795454546,136.9235,0.0730000000000075,62.535999999999746,24,138.67010795454564,136.80251736602173,Facebook
1210,2019-01-02 13:33:27.696,137.097,137.163,100,150,2019-01-02,5224877,137.13660000000002,137.13,0.0660000000000025,70.15499999999972,-35,134.82659999999993,136.99947088784234,Facebook
1119,2019-01-02 13:37:36.188,136.727,136.773,17,240,2019-01-02,5218101,136.76995719844356,136.75,0.04599999999999227,65.20599999999948,-20,135.84995719844372,136.93330757000686,Facebook
1239,2019-01-02 13:44:26.033,136.998,137.053,17,75,2019-01-02,5224018,137.04283695652174,137.0255,0.05500000000000682,74.53699999999992,-30,135.39283695652153,137.00082387658372,Facebook
1161,2019-01-02 13:49:03.351,137.428,137.482,72,75,2019-01-02,5214269,137.45555102040817,137.45499999999998,0.054000000000002046,64.73999999999955,-22,136.26755102040812,137.26321227834543,Facebook
1167,2019-01-02 13:53:04.176,137.327,137.378,260,7500,2019-01-02,5220223,137.37629123711338,137.3525,0.05099999999998772,63.82700000000008,-2,137.2742912371134,137.2926562728312,Facebook
1133,2019-01-02 13:58:30.277,137.288,137.343,17,370,2019-01-02,5219546,137.34058397932816,137.3155,0.0549999999999784,67.9150000000001,-6,137.0105839793283,137.3212080140289,Facebook
1105,2019-01-02 14:02:32.134,137.077,137.119,65,7500,2019-01-02,5220898,137.11863912756112,137.098,0.04200000000000159,62.984999999998934,-10,136.6986391275611,137.18029262523274,Facebook
1214,2019-01-02 14:07:52.502,136.697,136.752,200,7500,2019-01-02,5218641,136.75057142857145,136.7245,0.05500000000000682,71.76099999999943,-53,133.8355714285711,136.97001539201543,Facebook
1279,2019-01-02 14:14:30.533,136.688,136.762,68,230,2019-01-02,5222877,136.7451140939597,136.725,0.07400000000001228,76.57299999999884,4,137.04111409395975,136.79744571878052,Facebook
1245,2019-01-02 14:19:03.485,136.928,137.012,260,7720,2019-01-02,5218038,137.00926315789474,136.97,0.08400000000000318,79.86899999999946,-16,135.66526315789469,136.84031840452434,Facebook
1116,2019-01-02 14:23:47.535,137.117,137.163,130,75,2019-01-02,5217480,137.13382926829266,137.14,0.04600000000002069,67.71800000000033,21,138.0998292682931,136.98347067725442,Facebook
1059,2019-01-02 14:28:43.629,137.008,137.072,17,220,2019-01-02,5221837,137.06740928270042,137.04000000000002,0.06399999999999295,59.69900000000055,16,138.0914092827003,137.00230269550937,Facebook
1125,2019-01-02 14:33:30.814,137.308,137.352,100,150,2019-01-02,5223693,137.3344,137.32999999999998,0.04400000000001114,63.49200000000147,-4,137.15839999999994,137.21099325508874,Facebook
1216,2019-01-02 14:38:55.846,137.197,137.253,200,76,2019-01-02,5224902,137.21242028985506,137.225,0.055999999999983174,68.35400000000075,7,137.60442028985494,137.22050963638114,Facebook
1221,2019-01-02 14:43:10.925,136.791,136.852,17,75,2019-01-02,5223686,136.84072826086955,136.82150000000001,0.06100000000000705,67.76700000000005,-4,136.59672826086953,136.96121645370707,Facebook
1214,2019-01-02 14:47:50.441,136.839,136.903,17,75,2019-01-02,5219405,136.89117391304345,136.87099999999998,0.06399999999999295,68.19499999999942,-29,135.03517391304365,136.94502803985702,Facebook
1154,2019-01-02 14:53:40.633,136.727,136.792,260,7500,2019-01-02,5220481,136.78982216494845,136.7595,0.06499999999999773,64.85399999999922,-31,134.77482216494852,136.84611874957747,Facebook
1142,2019-01-02 14:58:40.768,136.457,136.533,110,450,2019-01-02,5220809,136.51807142857143,136.495,0.0759999999999934,60.7709999999999,-31,134.16207142857164,136.6729354898969,Facebook
1252,2019-01-02 15:02:32.220,136.547,136.593,260,7500,2019-01-02,5223175,136.5914587628866,136.57,0.04599999999999227,67.66100000000023,-15,135.9014587628867,136.51605824996304,Facebook
1246,2019-01-02 15:05:55.917,136.038,136.062,260,7500,2019-01-02,5221335,136.06119587628868,136.05,0.02400000000000091,65.00300000000004,-41,135.07719587628864,136.27348110274522,Facebook
1186,2019-01-02 15:10:56.082,135.688,135.718,200,7500,2019-01-02,5222865,135.71722077922075,135.70299999999997,0.030000000000001137,62.50500000000022,-43,134.4272207792207,135.87806343440627,Facebook
1077,2019-01-02 15:16:24.001,135.778,135.822,17,970,2019-01-02,5208145,135.821242147923,135.8,0.04400000000001114,60.88699999999855,-24,134.76524214792272,135.7869515722032,Facebook
1192,2019-01-02 15:20:53.700,135.778,135.833,17,150,2019-01-02,5211833,135.8274011976048,135.8055,0.05500000000000682,66.15199999999922,-7,135.44240119760474,135.6998367670019,Facebook
1195,2019-01-02 15:26:13.038,135.788,135.842,200,70,2019-01-02,5217628,135.802,135.815,0.054000000000002046,63.641999999999115,-24,134.50599999999994,135.74543499589376,Facebook
1089,2019-01-02 15:30:33.460,135.288,135.33,260,7500,2019-01-02,5221990,135.32859278350517,135.30900000000003,0.04200000000000159,54.14499999999924,-8,134.99259278350516,135.52934078884388,Facebook
1163,2019-01-02 15:36:11.265,135.118,135.133,200,7500,2019-01-02,5220111,135.1326103896104,135.1255,0.01500000000001478,57.67699999999948,-44,134.47261038960974,135.1811383002962,Facebook
1134,2019-01-02 15:41:31.723,135.288,135.319,120,7500,2019-01-02,5224686,135.31851181102363,135.30349999999999,0.03099999999997749,52.1839999999994,11,135.65951181102338,135.21513923857836,Facebook
1144,2019-01-02 15:46:02.401,135.408,135.452,260,450,2019-01-02,5223266,135.43588732394366,135.43,0.04400000000001114,48.79200000000006,21,136.3598873239439,135.30768419955632,Facebook
1150,2019-01-02 15:50:46.364,135.261,135.312,17,60,2019-01-02,5221924,135.30074025974028,135.2865,0.051000000000016144,49.329000000000036,-7,134.94374025974017,135.31929996293692,Facebook
1222,2019-01-02 15:54:49.374,135.65,135.672,17,45,2019-01-02,5215157,135.6659677419355,135.661,0.02199999999999136,52.68599999999978,33,136.39196774193522,135.53034065036096,Facebook
1233,2019-01-03 09:36:27.359,135.9,136.013,17,7550,2019-01-03,5225177,136.01274613453154,135.9565,0.11299999999999955,142.30100000000013,36,140.08074613453152,135.65882234788322,Facebook
1213,2019-01-03 09:41:02.904,136.267,136.332,17,75,2019-01-03,5209683,136.31998913043478,136.2995,0.06499999999999773,115.71699999999862,18,137.48998913043474,136.00358248378973,Facebook
1245,2019-01-03 09:46:19.534,136.237,136.282,100,7500,2019-01-03,5222279,136.28140789473684,136.2595,0.045000000000015916,101.01600000000047,48,138.4414078947376,136.2916494001803,Facebook
1258,2019-01-03 09:52:43.217,135.057,135.133,100,7500,2019-01-03,5220490,135.132,135.095,0.07600000000002183,100.71799999999965,-13,134.14399999999972,135.63968568289033,Facebook
1194,2019-01-03 09:57:23.653,134.888,134.96,17,7500,2019-01-03,5216878,134.95983716908344,134.924,0.07200000000000273,70.86699999999959,-47,131.57583716908331,135.09287436776506,Facebook
1172,2019-01-03 10:01:21.032,134.337,134.413,200,590,2019-01-03,5224303,134.3937594936709,134.375,0.07600000000002183,73.07199999999952,-57,130.06175949366965,134.5655320761216,Facebook
1275,2019-01-03 10:07:19.562,133.948,134.032,260,7500,2019-01-03,5220640,134.02918556701033,133.99,0.08400000000000318,91.95700000000025,8,134.70118556701036,134.19753376578248,Facebook
1281,2019-01-03 10:12:58.074,133.617,133.658,100,7500,2019-01-03,5225130,133.65746052631576,133.6375,0.04099999999999682,80.6740000000002,4,133.82146052631575,133.85157024743376,Facebook
1249,2019-01-03 10:17:36.722,133.438,133.512,100,7650,2019-01-03,5220489,133.51104516129033,133.475,0.07400000000001228,77.4980000000001,8,134.10304516129042,133.64969767589506,Facebook
1259,2019-01-03 10:22:55.721,133.589,133.633,17,75,2019-01-03,5221444,133.6248695652174,133.611,0.04400000000001114,81.67799999999974,22,134.59286956521765,133.67838887949753,Facebook
1128,2019-01-03 10:26:49.940,134.208,134.272,49,7570,2019-01-03,5221831,134.27158839742748,134.24,0.06399999999999295,71.28799999999978,23,135.74358839742732,134.02454313072306,Facebook
1159,2019-01-03 10:31:45.229,133.608,133.671,42,7500,2019-01-03,5220269,133.6706491646778,133.6395,0.06299999999998818,74.64900000000037,6,134.04864916467773,133.8999379129456,Facebook
1127,2019-01-03 10:37:35.498,132.867,132.91,200,7500,2019-01-03,5222124,132.90888311688312,132.8885,0.043000000000006366,69.56099999999967,-8,132.56488311688307,133.25022885930193,Facebook
1149,2019-01-03 10:42:23.424,132.787,132.852,200,7500,2019-01-03,5217781,132.85031168831168,132.8195,0.06499999999999773,71.43699999999856,-8,132.3303116883117,132.8727083455136,Facebook
1148,2019-01-03 10:47:31.118,133.168,133.242,230,580,2019-01-03,5224895,133.220987654321,133.20499999999998,0.07399999999998386,71.61899999999883,43,136.4029876543203,133.0019531379813,Facebook
1110,2019-01-03 10:51:43.755,133.247,133.313,260,480,2019-01-03,5220325,133.2898108108108,133.28,0.06599999999997408,67.56300000000022,17,134.41181081081035,133.08767776628304,Facebook
1242,2019-01-03 10:57:43.627,133.297,133.372,260,7500,2019-01-03,5218127,133.36948711340207,133.3345,0.07500000000001705,79.51299999999947,39,136.29448711340274,133.18675489192398,Facebook
1306,2019-01-03 11:03:24.160,133.348,133.412,260,81,2019-01-03,5224425,133.36320234604108,133.38,0.06399999999999295,84.56799999999976,27,135.0912023460409,133.29365636415085,Facebook
1331,2019-01-03 11:08:34.240,132.671,132.713,17,150,2019-01-03,5218201,132.7087245508982,132.692,0.04200000000000159,78.94099999999963,-6,132.4567245508982,132.95088525541556,Facebook
1212,2019-01-03 11:12:45.745,133.418,133.472,17,370,2019-01-03,5217895,133.46962790697677,133.445,0.054000000000002046,74.15299999999917,9,133.9556279069768,133.25449362638642,Facebook
1176,2019-01-03 11:18:17.037,133.218,133.292,260,7,2019-01-03,5222634,133.21994007490636,133.255,0.07400000000001228,73.43199999999942,19,134.6259400749066,133.19714185948212,Facebook
1234,2019-01-03 11:23:03.126,133.958,134.013,260,7500,2019-01-03,5218685,134.01115721649484,133.9855,0.05500000000000682,72.05600000000041,19,135.05615721649497,133.72259497734208,Facebook
1189,2019-01-03 11:27:07.271,133.477,133.518,10,7500,2019-01-03,5217996,133.51794540612516,133.4975,0.04099999999999682,69.10599999999945,0,133.51794540612516,133.60216202591542,Facebook
1119,2019-01-03 11:32:19.138,133.317,133.38,200,7500,2019-01-03,5222720,133.37836363636364,133.3485,0.06299999999998818,71.45699999999852,-26,131.74036363636395,133.4320486726242,Facebook
1110,2019-01-03 11:37:22.088,133.598,133.652,100,530,2019-01-03,5224844,133.6434285714286,133.625,0.053999999999973625,71.32299999999981,-23,132.4014285714292,133.41515902539922,Facebook
1101,2019-01-03 11:42:02.401,133.687,133.749,10200,7500,2019-01-03,5221539,133.7132711864407,133.71800000000002,0.0619999999999834,62.960000000000235,-14,132.84527118644093,133.54788256290666,Facebook
1167,2019-01-03 11:46:38.734,133.563,133.603,17,1,2019-01-03,5220216,133.56522222222222,133.583,0.040000000000020464,64.55300000000068,-18,132.84522222222185,133.70179927248645,Facebook
