,timestamp,bid,ask,bid_vol,ask_vol,Volume,Price,MidPrice,Spread,SpreadCm,TickRule,ObservedPrice,VWAP,Instrument
967,2019-01-03 15:35:25.577,143.208,143.25,330,7500,4997511,143.24822988505747,143.22899999999998,0.04200000000000159,36.668000000000035,20,144.0882298850575,143.10310400157655,Google
991,2019-01-03 15:39:04.045,142.857,142.888,100,7500,4999973,142.88759210526314,142.8725,0.03100000000000591,36.46300000000059,-12,142.51559210526307,142.94958060435044,Google
1072,2019-01-03 15:43:11.101,142.568,142.602,120,150,4996238,142.5868888888889,142.585,0.033999999999991815,39.29300000000069,27,143.50488888888867,142.65413876486915,Google
1033,2019-01-03 15:46:28.120,142.727,142.762,100,7500,4995961,142.7615394736842,142.74450000000002,0.03499999999999659,38.71600000000046,48,144.44153947368403,142.67016896575265,Google
930,2019-01-03 15:50:02.015,142.338,142.372,120,750,4996431,142.3673103448276,142.35500000000002,0.034000000000020236,33.64500000000038,-3,142.26531034482753,142.50614627042538,Google
973,2019-01-03 15:53:01.448,142.247,142.279,120,7500,4988903,142.2784960629921,142.263,0.031999999999982265,36.831000000000444,26,143.11049606299164,142.39309879453688,Google
1044,2019-01-04 09:30:52.972,144.421,144.462,330,150,4997514,144.4338125,144.4415,0.04099999999999682,39.96299999999988,21,145.29481249999992,143.7158652264846,Google
872,2019-01-04 09:32:47.995,144.271,144.312,330,10800,4993821,144.31078436657683,144.29149999999998,0.04100000000002524,36.48399999999921,-45,142.4657843665757,144.22179390540668,Google
911,2019-01-04 09:35:08.887,144.418,144.447,1,7500,4999199,144.44699613384884,144.4325,0.028999999999996362,39.121000000000464,-12,144.09899613384889,144.40231188538735,Google
928,2019-01-04 09:37:39.885,144.487,144.522,120,7500,4995525,144.52144881889762,144.5045,0.03499999999999659,38.784000000000134,21,145.25644881889755,144.39438973787816,Google
941,2019-01-04 09:40:16.400,144.798,144.842,120,590,4999125,144.8345633802817,144.82,0.04400000000001114,39.10900000000052,32,146.24256338028206,144.65847906075103,Google
1024,2019-01-04 09:43:13.630,144.708,144.748,100,7500,4996665,144.74747368421052,144.728,0.03999999999999204,39.74400000000094,-35,143.3474736842108,144.7042629242558,Google
985,2019-01-04 09:46:02.663,144.718,144.752,120,400,4997554,144.74415384615386,144.735,0.034000000000020236,39.419000000000466,-26,143.86015384615334,144.70099473408246,Google
981,2019-01-04 09:49:10.112,144.608,144.643,330,230,4995008,144.622375,144.6255,0.03499999999999659,36.32900000000015,-4,144.48237500000002,144.67675798156196,Google
1006,2019-01-04 09:52:17.969,144.858,144.893,120,7500,4997344,144.89244881889763,144.8755,0.03499999999999659,37.87900000000019,1,144.92744881889763,144.81759070278096,Google
1081,2019-01-04 09:55:40.614,144.627,144.663,120,10500,4999890,144.66259322033898,144.645,0.036000000000001364,39.495999999999924,-36,143.36659322033893,144.75037165315646,Google
1007,2019-01-04 09:58:57.000,144.967,145.003,120,75,4994734,144.98084615384616,144.985,0.03599999999997294,35.107000000000454,20,145.70084615384562,144.83764342199856,Google
1061,2019-01-04 10:01:49.433,145.587,145.623,120,58,4999922,145.59873033707865,145.605,0.036000000000001364,38.45799999999957,84,148.62273033707876,145.36780723170114,Google
1043,2019-01-04 10:05:09.777,145.547,145.583,120,970,4991416,145.57903669724772,145.565,0.036000000000001364,37.76400000000061,24,146.44303669724775,145.59157788898156,Google
1052,2019-01-04 10:08:32.019,145.308,145.352,120,220,4999035,145.3364705882353,145.32999999999998,0.04400000000001114,37.39900000000077,3,145.46847058823533,145.45828599187425,Google
1088,2019-01-04 10:11:57.338,145.387,145.433,120,150,4988493,145.41255555555554,145.41,0.04599999999999227,39.33799999999991,11,145.91855555555546,145.4320049335952,Google
992,2019-01-04 10:15:28.865,145.408,145.449,330,7500,4994979,145.44727203065133,145.42849999999999,0.04100000000002524,38.24100000000061,-1,145.4062720306513,145.4417294188003,Google
996,2019-01-04 10:19:07.529,145.317,145.352,10200,7500,4999481,145.3318305084746,145.3345,0.03499999999999659,37.46900000000028,1,145.3668305084746,145.36983605191836,Google
1017,2019-01-04 10:21:51.701,145.628,145.663,330,200,4987094,145.6412075471698,145.6455,0.03500000000002501,35.76300000000066,-14,145.15120754716946,145.50375169811323,Google
1074,2019-01-04 10:24:04.098,146.688,146.712,100,7500,4997247,146.71168421052633,146.7,0.02400000000000091,37.488,43,147.74368421052637,146.2412708314232,Google
938,2019-01-04 10:25:56.221,146.947,146.983,100,10700,4990241,146.98266666666666,146.965,0.036000000000001364,35.00600000000014,-39,145.5786666666666,146.80711192214113,Google
986,2019-01-04 10:28:16.415,147.058,147.102,120,7500,4984048,147.10130708661416,147.07999999999998,0.04400000000001114,37.9050000000002,-9,146.70530708661406,146.97878138879537,Google
1007,2019-01-04 10:30:56.864,146.958,147.002,100,10500,4995452,147.0015849056604,146.98000000000002,0.04400000000001114,39.61800000000051,24,148.05758490566066,146.94318080678002,Google
978,2019-01-04 10:33:39.244,146.808,146.852,120,7500,4987780,146.85130708661416,146.82999999999998,0.04400000000001114,36.72499999999948,9,147.24730708661426,146.87076252570338,Google
904,2019-01-04 10:36:16.174,146.737,146.773,100,82,4994136,146.75321978021978,146.755,0.036000000000001364,33.313000000000244,-3,146.64521978021978,146.80082811571629,Google
957,2019-01-04 10:39:26.303,146.688,146.729,330,7500,4992234,146.72727203065133,146.70850000000002,0.04100000000002524,36.55399999999918,14,147.3012720306517,146.72775630565036,Google
999,2019-01-04 10:42:27.109,146.718,146.762,120,270,4991005,146.74846153846153,146.74,0.04400000000001114,37.853999999999274,-4,146.57246153846148,146.7041789357596,Google
990,2019-01-04 10:46:10.558,146.658,146.672,120,7500,4998004,146.67177952755904,146.665,0.014000000000010004,37.66099999999972,-37,146.15377952755867,146.66350464347036,Google
1014,2019-01-04 10:49:29.880,146.721,146.762,330,10600,4999664,146.76076212259835,146.7415,0.04099999999999682,36.89100000000042,-9,146.39176212259838,146.82309954843453,Google
965,2019-01-04 10:52:55.761,146.858,146.892,120,190,4999126,146.87883870967744,146.875,0.033999999999991815,37.94799999999992,10,147.21883870967736,146.7924620626759,Google
949,2019-01-04 10:56:05.092,146.857,146.883,110,7500,4997796,146.88262417871223,146.87,0.02600000000001046,37.89400000000006,8,147.09062417871232,146.86174467345924,Google
1001,2019-01-04 10:59:34.387,147.097,147.139,10300,7500,4997399,147.11469662921348,147.118,0.04200000000000159,38.509999999999934,14,147.7026966292135,147.02515356502298,Google
1082,2019-01-04 11:03:12.168,147.512,147.532,330,75,4992178,147.5157037037037,147.522,0.020000000000010232,43.099999999999596,7,147.65570370370378,147.34740510357872,Google
1057,2019-01-04 11:06:54.768,147.507,147.542,330,10700,4994940,147.54095285584768,147.5245,0.03499999999999659,43.035000000000196,20,148.2409528558476,147.48654838448405,Google
1036,2019-01-04 11:10:54.849,147.498,147.532,120,74,4991184,147.51096907216493,147.515,0.034000000000020236,40.377999999999986,27,148.42896907216547,147.47804658440933,Google
1025,2019-01-04 11:14:49.433,147.247,147.302,120,7500,4999734,147.3011338582677,147.2745,0.0549999999999784,38.43299999999908,48,149.94113385826665,147.37216386384384,Google
902,2019-01-04 11:17:55.249,147.018,147.063,330,1050,4998935,147.05223913043477,147.0405,0.044999999999987494,33.877999999999616,15,147.72723913043458,147.18804317754933,Google
